animaux	animals
bec	beak
chasseur	hunter
honteux	ashamed
morceau	piece
patte	paw
voix	voice
êtes	are (vous êtes)
flatteur	flatterer
cordes	ropes
laisses	leave, let (laisser)
mit	put (mettre)
souris	mouse
clavier	keyboard
banque	bank
compte	account
commande	order
frappe	knocks (frapper)
ronronne	purrs
sourit	smiles
arrogant	arrogant
voisine	neighbor
entre	enters; between (entrer / entre)
sienne	hers, his (la sienne)
inconnu	stranger; unknown
aérienne	air (compagnie aérienne = airline)
judas	peephole
monument	monument
éventuel	possible, potential
tapis	carpet; (tapis roulant) baggage carousel
davantage	more
horloge	clock
poisson	fish
gratte	scratches (gratter)
dessin	drawing
assistant	assistant
sauce	sauce
recette	recipe
ingrédient	ingredient
herbes	herbs
tante	aunt
machine	machine
contente	happy, pleased (feminine)
orange	orange
goût	taste, flavor
