hacerlo	to do it	verb
importa	matters (importar)	verb
hemos	we have (haber)	verb
alguna	some, any (feminine)	determiner
eh	eh	interjection
ve	sees; go (ver / ir)	verb
ustedes	you all (plural)	pronoun
algún	some, any	determiner
unos	some, a few (masculine)	determiner
veo	I see (ver)	verb
pensé	I thought (pensar)	verb
ah	ah	interjection
digo	I say (decir)	verb
somos	we are (ser)	verb
debo	I must (deber)	verb
sería	would be (ser)	verb
hice	I did, I made (hacer)	verb
iba	was going (ir)	verb
supongo	I suppose (suponer)	verb
entiendo	I understand (entender)	verb
ves	you see (ver)	verb
espero	I hope, I wait (esperar)	verb
siquiera	even	adverb
gustaría	would like (gustar)	verb
cuánto	how much	adverb
os	you all (object, Spain)	pronoun
deja	leave(s), let(s) (dejar)	verb
vi	I saw (ver)	verb
da	gives (dar)	verb
dijiste	you said (decir)	verb
haré	I will do, I will make (hacer)	verb
debes	you must (deber)	verb
déjame	let me	expression
ningún	no, none	determiner
hago	I do, I make (hacer)	verb
dices	you say (decir)	verb
allá	over there	adverb
fui	I was; I went (ser / ir)	verb
debemos	we must (deber)	verb
necesitamos	we need (necesitar)	verb
estabas	you were (estar)	verb
ok	okay	expression
ello	it	pronoun
unas	some, a few (feminine)	determiner
atrás	behind, back	adverb
sra.	Mrs. (abbreviation)	noun
sabemos	we know (saber)	verb
según	according to	preposition
vosotros	you all (Spain)	pronoun
