savez	you know (savoir)	verb
jusqu'	until, up to (before vowel)	preposition
dû	had to; owed (devoir, past part.)	verb
eh	eh	interjection
plaît	pleases (s'il vous plaît)	verb
pu	been able to (pouvoir, past part.)	verb
sommes	we are (être)	verb
hé	hey	interjection
aujourd'hui	today	adverb
tant	so much, so many	adverb
connais	know (connaître)	verb
combien	how much, how many	adverb
allons	let's go (aller)	verb
importe	matters (importer)	verb
laisse	leave, let (laisser)	verb
vont	go (aller)	verb
ni	nor, neither	conjunction
dont	of which, whose	pronoun
tellement	so much, so	adverb
venu	come (venir, past part.)	verb
là-bas	over there	adverb
celui	the one (masculine)	pronoun
propos	à propos: about	noun
dessus	on top, above	adverb
excusez-moi	excuse me	expression
autant	as much, as many	adverb
rentrer	to go home, to return	verb
abord	d'abord: first	adverb
voudrais	would like (vouloir)	verb
dès	from, as of	preposition
suffit	is enough (suffire)	verb
celle	the one (feminine)	pronoun
vaut	is worth (valoir)	verb
rendez-vous	appointment, date	noun
an	year	noun
selon	according to	preposition
or	now, yet	conjunction
dedans	inside	adverb
moi-même	myself	pronoun
puis-je	may I	verb
dis-moi	tell me	expression
avez-vous	do you have	verb
est-il	is he, is it	verb
allô	hello (on the phone)	expression
retrouver	to meet, to find again	verb
devons	we must (devoir)	verb
reviens	come back (revenir)	verb
voyons	let's see (voir)	verb
