es	is, are (ser)	verb
me	me, to me	pronoun
se	oneself, himself	pronoun
te	you, to you	pronoun
mi	my	determiner
si	if	conjunction
tu	your	determiner
al	to the (a + el)	preposition
le	to him, to her	pronoun
ya	already, now	adverb
estoy	I am (estar)	verb
ha	has (haber)	verb
vamos	let's go, we go (ir)	verb
estás	you are (estar)	verb
sé	I know (saber)	verb
o	or	conjunction
he	I have (haber)	verb
vez	time, occasion	noun
soy	I am (ser)	verb
tienes	you have (tener)	verb
creo	I think, I believe (creer)	verb
voy	I go (ir)	verb
sabes	you know (saber)	verb
eres	you are (ser)	verb
ese	that (masculine)	determiner
esa	that (feminine)	determiner
va	goes (ir)	verb
oh	oh	interjection
mí	me (after a preposition)	pronoun
has	you have (haber)	verb
tenemos	we have (tener)	verb
ti	you (after a preposition)	pronoun
puedes	you can (poder)	verb
ni	nor, neither	conjunction
estamos	we are (estar)	verb
sea	be (ser, subjunctive)	verb
vas	you go (ir)	verb
sr.	Mr. (abbreviation)	noun
podemos	we can (poder)	verb
dije	I said (decir)	verb
será	will be (ser)	verb
crees	you think, you believe (creer)	verb
buen	good (before masculine noun)	adjective
conmigo	with me	pronoun
toda	all, whole (feminine)	determiner
