c'	it, this (before vowel)	pronoun
a	has (avoir)	verb
l'	the (before vowel)	article
ne	not (negation)	adverb
j'	I (before vowel)	pronoun
on	one, we (impersonal)	pronoun
ça	that, it	pronoun
d'	of, from (before vowel)	preposition
qu'	that (before vowel)	conjunction
ai	have (j'ai)	verb
n'	not (before vowel)	adverb
me	me, to me	pronoun
si	if; yes (to a negative)	conjunction
du	of the, some	article
y	there, of it	pronoun
t'	you (before vowel)	pronoun
m'	me (before vowel)	pronoun
te	you, to you	pronoun
au	to the, at the	preposition
s'	oneself (before vowel)	pronoun
va	goes (aller)	verb
as	have (tu as)	verb
se	oneself, himself	pronoun
ma	my (feminine)	determiner
est-ce	is it (question marker)	expression
es	are (tu es)	verb
là	there	adverb
ton	your (masculine)	determiner
ou	or	conjunction
oh	oh	interjection
ta	your (feminine)	determiner
quelque	some, a few	determiner
faut	must, is necessary (il faut)	verb
dois	must, owe	verb
peut-être	maybe, perhaps	adverb
vu	seen (past part. of voir)	verb
quelqu'	someone (before vowel)	pronoun
eu	had (past part. of avoir)	verb
ok	okay	expression
m.	Mr. (abbreviation)	noun
tes	your (plural)	determiner
ca	that (= ça)	pronoun
voulais	wanted (vouloir)	verb
aurais	would have (avoir, conditional)	verb
ah	ah	interjection
